,doc_id,item,category,amount,price,discount
0,CH-1_3-2025-04-24-000001,"Сыр из козьего молока БЕЛОЕ ЗОЛОТО Грана Кози Леварден 50%, без змж, 150г",Сыры,1,417.99,0.0
1,CH-1_3-2025-04-24-000002,"Сыр твердый ВЕЛИКИЕ ЛУКИ Parmesan 40%, 3 месяца, без змж, 180г",Сыры,5,271.99,0.05
2,CH-1_3-2025-04-24-000002,"Хлебец АРНАУТ Ленинградский, 280г",Хлеб и выпечка,3,108.99,0.03
3,CH-1_3-2025-04-24-000002,"Хлеб заварной ХЛЕБНЫЙ ДОМ Заквасный без хлебопекарных дрожжей в упаковке, в нарезке, 350г",Хлеб и выпечка,2,72.99,0.0
4,CH-1_3-2025-04-24-000002,"Хлеб заварной ХЛЕБНЫЙ ДОМ Заквасный без хлебопекарных дрожжей в упаковке, в нарезке, 350г",Хлеб и выпечка,2,72.99,0.0
5,CH-1_3-2025-04-24-000002,"Вино игристое MARTINI Asti белое сладкое, 0.75л",Алкоголь,3,1499.99,0.03
6,CH-1_3-2025-04-24-000003,"Масло сливочное СЕЛО ЗЕЛЕНОЕ 82.5%, без змж, 175г",Молочные продукты,3,292.99,0.03
7,CH-1_3-2025-04-24-000003,"Сметана МЗ Пискаревский 15%, безмж, 450г",Молочные продукты,3,124.99,0.03
8,CH-1_3-2025-04-24-000004,"Ветчина из окорока PREMIUM CLUB нарезка, 170г",Колбаса и сосиски,2,225.99,0.0
9,CH-1_3-2025-04-24-000005,"Хлеб Нордик с орехами и сухофруктами на закваске, 170г",Хлеб и выпечка,3,99.99,0.03
10,CH-1_3-2025-04-24-000005,"Сыр творожный BONFESTO Кремчиз 70%, без змж, 400г",Сыры,3,308.99,0.03
11,CH-1_3-2025-04-24-000006,"Творог СВЕЖЕЕ ЗАВТРА 5%, без змж, 200г",Молочные продукты,1,108.99,0.0
12,CH-1_3-2025-04-24-000006,"Колбаса сыровяленая CASADEMONT Сальчичон Монтанья Экстра, 250г",Колбаса и сосиски,5,656.99,0.05
13,CH-1_3-2025-04-24-000007,"Творог СВЕЖЕЕ ЗАВТРА 5%, без змж, 200г",Молочные продукты,1,108.99,0.0
14,CH-1_3-2025-04-24-000008,"Лаваш РИЖСКИЙ ХЛЕБ Армянский ручной работы, 300г",Хлеб и выпечка,4,73.99,0.03
15,CH-1_3-2025-04-24-000009,Виски JACK DANIEL'S Tennessee Whiskey 1л,Алкоголь,5,2899.99,0.05
16,CH-1_3-2025-04-24-000010,Виски JACK DANIEL'S Tennessee Whiskey 1л,Алкоголь,1,2899.99,0.0
17,CH-1_3-2025-04-24-000010,"Томаты сливовидные ФЛАМЕНКО, 450г",Овощи и фрукты,5,298.99,0.05
18,CH-1_3-2025-04-24-000011,"Кольцо песочное ДАРНИЦА, классическое с обжаренным арахисом, 80г",Хлеб и выпечка,1,50.99,0.0
19,CH-1_3-2025-04-24-000012,Виски JACK DANIEL'S Tennessee Whiskey 1л,Алкоголь,4,2899.99,0.03
20,CH-1_3-2025-04-24-000012,"Колбаса вареная ДЫМОВ Докторская ГОСТ, 500г",Колбаса и сосиски,1,335.99,0.0
21,CH-1_3-2025-04-24-000013,"Томаты сливовидные ФЛАМЕНКО, 450г",Овощи и фрукты,1,298.99,0.0
22,CH-1_3-2025-04-24-000013,"Кольцо песочное ДАРНИЦА, классическое с обжаренным арахисом, 80г",Хлеб и выпечка,4,50.99,0.03
23,CH-1_3-2025-04-24-000014,"Сыр УМАЛАТ Сулугуни 45%, без змж, 280г",Сыры,4,339.99,0.03
24,CH-1_3-2025-04-24-000014,"Томаты сливовидные ФЛАМЕНКО, 450г",Овощи и фрукты,4,298.99,0.03
25,CH-1_3-2025-04-24-000015,"Сыр твердый ВЕЛИКИЕ ЛУКИ Parmesan 40%, 3 месяца, без змж, 180г",Сыры,3,271.99,0.03
26,CH-1_3-2025-04-24-000015,"Томаты черри ВАУ круглые красные, 200г",Овощи и фрукты,2,252.99,0.0
27,CH-1_3-2025-04-24-000016,"Сметана МЗ Пискаревский 15%, безмж, 450г",Молочные продукты,5,124.99,0.05
28,CH-1_3-2025-04-24-000017,"Творог СВЕЖЕЕ ЗАВТРА 5%, без змж, 200г",Молочные продукты,3,108.99,0.03
29,CH-1_3-2025-04-24-000017,"Творог СВЕЖЕЕ ЗАВТРА 5%, без змж, 200г",Молочные продукты,1,108.99,0.0
30,CH-1_3-2025-04-24-000017,"Водка FINLANDIA 40%, 0.7л",Алкоголь,1,1449.99,0.0
31,CH-1_3-2025-04-24-000017,"Сыр DORBLU с голубой плесенью 50%, без змж, 100г",Сыры,2,331.99,0.0
32,CH-1_3-2025-04-24-000017,"Масло сливочное СЕЛО ЗЕЛЕНОЕ 82.5%, без змж, 175г",Молочные продукты,2,292.99,0.0
33,CH-1_3-2025-04-24-000017,"Сосиски ОКРАИНА Венские, 380г",Колбаса и сосиски,2,519.99,0.0
34,CH-1_3-2025-04-24-000017,"Сыр DORBLU с голубой плесенью 50%, без змж, 100г",Сыры,2,331.99,0.0
35,CH-1_3-2025-04-24-000018,"Колбаса вареная ДЫМОВ Докторская ГОСТ, 500г",Колбаса и сосиски,1,335.99,0.0
36,CH-1_3-2025-04-24-000018,"Сметана МЗ Пискаревский 15%, безмж, 450г",Молочные продукты,2,124.99,0.0
37,CH-1_3-2025-04-24-000019,"Биопродукт кефирный БИОБАЛАНС 1%, без змж, 930г",Молочные продукты,3,122.99,0.03
38,CH-1_3-2025-04-24-000019,"Колбаса сыровяленая CASADEMONT Сальчичон Монтанья Экстра, 250г",Колбаса и сосиски,5,656.99,0.05
39,CH-1_3-2025-04-24-000019,"Вино игристое MARTINI Asti белое сладкое, 0.75л",Алкоголь,4,1499.99,0.03
40,CH-1_3-2025-04-24-000020,"Сыр УМАЛАТ Сулугуни 45%, без змж, 280г",Сыры,5,339.99,0.05
41,CH-1_3-2025-04-24-000020,"Редис, 500г",Овощи и фрукты,2,199.99,0.0
42,CH-1_3-2025-04-24-000020,"Водка FINLANDIA 40%, 0.7л",Алкоголь,3,1449.99,0.03
43,CH-1_3-2025-04-24-000021,"Вино игристое MARTINI Asti белое сладкое, 0.75л",Алкоголь,1,1499.99,0.0
44,CH-1_3-2025-04-24-000022,"Томаты черри ВАУ круглые красные, 200г",Овощи и фрукты,1,252.99,0.0
45,CH-1_3-2025-04-24-000023,"Коньяк САРАДЖИШВИЛИ ХО Грузинский марочный старый КС 10 лет 40%, п/у, 0.5л",Алкоголь,1,4499.9,0.0
46,CH-1_3-2025-04-24-000023,"Сыр УМАЛАТ Сулугуни 45%, без змж, 280г",Сыры,2,339.99,0.0
47,CH-1_3-2025-04-24-000023,"Сосиски ОКРАИНА Венские, 380г",Колбаса и сосиски,5,519.99,0.05
48,CH-1_3-2025-04-24-000024,"Редис, 500г",Овощи и фрукты,5,199.99,0.05
49,CH-1_3-2025-04-24-000025,"Редис, 500г",Овощи и фрукты,5,199.99,0.05
50,CH-1_3-2025-04-24-000026,"Молоко пастеризованное ПРОСТОКВАШИНО 2,5%, без змж, 930мл",Молочные продукты,5,97.99,0.05
51,CH-1_3-2025-04-24-000026,"Томаты черри ВАУ круглые красные, 200г",Овощи и фрукты,2,252.99,0.0
52,CH-1_3-2025-04-24-000027,"Сыр творожный BONFESTO Кремчиз 70%, без змж, 400г",Сыры,4,308.99,0.03
53,CH-1_3-2025-04-24-000028,"Вино игристое MARTINI Asti белое сладкое, 0.75л",Алкоголь,3,1499.99,0.03
54,CH-1_3-2025-04-24-000029,"Сыр из козьего молока БЕЛОЕ ЗОЛОТО Грана Кози Леварден 50%, без змж, 150г",Сыры,3,417.99,0.03
55,CH-1_3-2025-04-24-000029,"Коньяк САРАДЖИШВИЛИ ХО Грузинский марочный старый КС 10 лет 40%, п/у, 0.5л",Алкоголь,1,4499.9,0.0
56,CH-1_3-2025-04-24-000029,"Молоко пастеризованное ПРОСТОКВАШИНО 2,5%, без змж, 930мл",Молочные продукты,4,97.99,0.03
57,CH-1_3-2025-04-24-000029,Виски JACK DANIEL'S Tennessee Whiskey 1л,Алкоголь,2,2899.99,0.0
58,CH-1_3-2025-04-24-000029,"Хлеб Нордик с орехами и сухофруктами на закваске, 170г",Хлеб и выпечка,5,99.99,0.05
59,CH-1_3-2025-04-24-000030,"Вино игристое MARTINI Asti белое сладкое, 0.75л",Алкоголь,4,1499.99,0.03
60,CH-1_3-2025-04-24-000031,"Коньяк САРАДЖИШВИЛИ ХО Грузинский марочный старый КС 10 лет 40%, п/у, 0.5л",Алкоголь,1,4499.9,0.0
61,CH-1_3-2025-04-24-000032,"Хлеб заварной ХЛЕБНЫЙ ДОМ Заквасный без хлебопекарных дрожжей в упаковке, в нарезке, 350г",Хлеб и выпечка,3,72.99,0.03
62,CH-1_3-2025-04-24-000032,"Хлеб Нордик с орехами и сухофруктами на закваске, 170г",Хлеб и выпечка,2,99.99,0.0
63,CH-1_3-2025-04-24-000032,"Коньяк САРАДЖИШВИЛИ ХО Грузинский марочный старый КС 10 лет 40%, п/у, 0.5л",Алкоголь,2,4499.9,0.0
64,CH-1_3-2025-04-24-000032,"Сыр УМАЛАТ Сулугуни 45%, без змж, 280г",Сыры,3,339.99,0.03
65,CH-1_3-2025-04-24-000032,"Сыр УМАЛАТ Сулугуни 45%, без змж, 280г",Сыры,2,339.99,0.0
66,CH-1_3-2025-04-24-000033,"Хлеб Нордик с орехами и сухофруктами на закваске, 170г",Хлеб и выпечка,5,99.99,0.05
67,CH-1_3-2025-04-24-000033,"Хлеб заварной ХЛЕБНЫЙ ДОМ Заквасный без хлебопекарных дрожжей в упаковке, в нарезке, 350г",Хлеб и выпечка,1,72.99,0.0
68,CH-1_3-2025-04-24-000033,"Сыр из козьего молока БЕЛОЕ ЗОЛОТО Грана Кози Леварден 50%, без змж, 150г",Сыры,3,417.99,0.03
69,CH-1_3-2025-04-24-000034,"Биопродукт кефирный БИОБАЛАНС 1%, без змж, 930г",Молочные продукты,2,122.99,0.0
70,CH-1_3-2025-04-24-000035,"Биопродукт кефирный БИОБАЛАНС 1%, без змж, 930г",Молочные продукты,1,122.99,0.0
71,CH-1_3-2025-04-24-000035,"Водка FINLANDIA 40%, 0.7л",Алкоголь,2,1449.99,0.0
72,CH-1_3-2025-04-24-000036,"Томаты черри ВАУ круглые красные, 200г",Овощи и фрукты,3,252.99,0.03
73,CH-1_3-2025-04-24-000036,"Сыр из козьего молока БЕЛОЕ ЗОЛОТО Грана Кози Леварден 50%, без змж, 150г",Сыры,3,417.99,0.03
74,CH-1_3-2025-04-24-000036,"Биопродукт кефирный БИОБАЛАНС 1%, без змж, 930г",Молочные продукты,2,122.99,0.0
75,CH-1_3-2025-04-24-000036,"Вино игристое MARTINI Asti белое сладкое, 0.75л",Алкоголь,3,1499.99,0.03
