,doc_id,item,category,amount,price,discount
0,CH-9_4-2025-04-23-000001,"Сосиски ОКРАИНА Венские, 380г",Колбаса и сосиски,1,656.99,0.0
1,CH-9_4-2025-04-23-000002,Виски JACK DANIEL'S Tennessee Whiskey 1л,Алкоголь,4,1449.99,0.03
2,CH-9_4-2025-04-23-000003,"Сало БАХРУШИНЪ с гималайской солью, 280г",Колбаса и сосиски,4,519.0,0.03
3,CH-9_4-2025-04-23-000003,"Колбаса сыровяленая CASADEMONT Сальчичон Монтанья Экстра, 250г",Колбаса и сосиски,2,225.99,0.0
4,CH-9_4-2025-04-23-000003,"Лаваш РИЖСКИЙ ХЛЕБ Армянский ручной работы, 300г",Хлеб и выпечка,2,108.99,0.0
5,CH-9_4-2025-04-23-000003,Виски JACK DANIEL'S Tennessee Whiskey 1л,Алкоголь,4,999.99,0.03
6,CH-9_4-2025-04-23-000004,"Сало БАХРУШИНЪ с гималайской солью, 280г",Колбаса и сосиски,2,335.99,0.0
7,CH-9_4-2025-04-23-000004,"Молоко пастеризованное ПРОСТОКВАШИНО 2,5%, без змж, 930мл",Молочные продукты,1,124.99,0.0
8,CH-9_4-2025-04-23-000004,"Колбаса вареная ДЫМОВ Докторская ГОСТ, 500г",Колбаса и сосиски,3,335.99,0.03
9,CH-9_4-2025-04-23-000005,"Творог СВЕЖЕЕ ЗАВТРА 5%, без змж, 200г",Молочные продукты,4,124.99,0.03
10,CH-9_4-2025-04-23-000005,"Водка FINLANDIA 40%, 0.7л",Алкоголь,3,2899.99,0.03
11,CH-9_4-2025-04-23-000006,"Сыр DORBLU с голубой плесенью 50%, без змж, 100г",Сыры,4,417.99,0.03
12,CH-9_4-2025-04-23-000007,"Водка FINLANDIA 40%, 0.7л",Алкоголь,1,1449.99,0.0
13,CH-9_4-2025-04-23-000008,"Творог СВЕЖЕЕ ЗАВТРА 5%, без змж, 200г",Молочные продукты,3,124.99,0.03
14,CH-9_4-2025-04-23-000008,"Сыр творожный BONFESTO Кремчиз 70%, без змж, 400г",Сыры,5,308.99,0.05
15,CH-9_4-2025-04-23-000008,"Редис, 500г",Овощи и фрукты,3,199.99,0.03
16,CH-9_4-2025-04-23-000009,"Творог СВЕЖЕЕ ЗАВТРА 5%, без змж, 200г",Молочные продукты,4,97.99,0.03
17,CH-9_4-2025-04-23-000009,"Перец микс, 2шт",Овощи и фрукты,1,199.99,0.0
18,CH-9_4-2025-04-23-000009,"Колбаса вареная ДЫМОВ Докторская ГОСТ, 500г",Колбаса и сосиски,4,656.99,0.03
19,CH-9_4-2025-04-23-000010,"Сало БАХРУШИНЪ с гималайской солью, 280г",Колбаса и сосиски,1,656.99,0.0
20,CH-9_4-2025-04-23-000011,"Сыр УМАЛАТ Сулугуни 45%, без змж, 280г",Сыры,2,308.99,0.0
21,CH-9_4-2025-04-23-000012,"Молоко пастеризованное ПРОСТОКВАШИНО 2,5%, без змж, 930мл",Молочные продукты,5,122.99,0.05
22,CH-9_4-2025-04-23-000012,"Хлебец АРНАУТ Ленинградский, 280г",Хлеб и выпечка,5,73.99,0.05
23,CH-9_4-2025-04-23-000012,"Перец микс, 2шт",Овощи и фрукты,4,199.99,0.03
24,CH-9_4-2025-04-23-000012,"Сыр УМАЛАТ Сулугуни 45%, без змж, 280г",Сыры,5,271.99,0.05
25,CH-9_4-2025-04-23-000013,"Колбаса сыровяленая CASADEMONT Сальчичон Монтанья Экстра, 250г",Колбаса и сосиски,2,519.0,0.0
26,CH-9_4-2025-04-23-000013,"Сыр УМАЛАТ Сулугуни 45%, без змж, 280г",Сыры,4,417.99,0.03
27,CH-9_4-2025-04-23-000013,"Вино J.P.CHENET Делишес Медиум Свит красное полусладкое, 0.75л",Алкоголь,2,1499.99,0.0
28,CH-9_4-2025-04-23-000014,"Огурцы Луховицкие, 450г",Овощи и фрукты,4,298.99,0.03
29,CH-9_4-2025-04-23-000014,"Томаты сливовидные ФЛАМЕНКО, 450г",Овощи и фрукты,2,151.99,0.0
30,CH-9_4-2025-04-23-000014,"Сыр УМАЛАТ Сулугуни 45%, без змж, 280г",Сыры,2,308.99,0.0
