,doc_id,item,category,amount,price,discount
0,CH-4_2-2025-04-24-000001,"Лаваш РИЖСКИЙ ХЛЕБ Армянский ручной работы, 300г",Хлеб и выпечка,2,73.99,0.0
1,CH-4_2-2025-04-24-000002,"Томаты сливовидные ФЛАМЕНКО, 450г",Овощи и фрукты,2,298.99,0.0
2,CH-4_2-2025-04-24-000003,"Колбаса вареная ДЫМОВ Докторская ГОСТ, 500г",Колбаса и сосиски,5,335.99,0.05
3,CH-4_2-2025-04-24-000003,"Кольцо песочное ДАРНИЦА, классическое с обжаренным арахисом, 80г",Хлеб и выпечка,1,50.99,0.0
4,CH-4_2-2025-04-24-000004,"Колбаса вареная ДЫМОВ Докторская ГОСТ, 500г",Колбаса и сосиски,2,335.99,0.0
5,CH-4_2-2025-04-24-000004,"Сыр творожный BONFESTO Кремчиз 70%, без змж, 400г",Сыры,3,308.99,0.03
6,CH-4_2-2025-04-24-000005,"Редис, 500г",Овощи и фрукты,2,199.99,0.0
7,CH-4_2-2025-04-24-000005,"Вино игристое MARTINI Asti белое сладкое, 0.75л",Алкоголь,1,1499.99,0.0
8,CH-4_2-2025-04-24-000006,"Водка FINLANDIA 40%, 0.7л",Алкоголь,5,1449.99,0.05
9,CH-4_2-2025-04-24-000007,"Сыр из козьего молока БЕЛОЕ ЗОЛОТО Грана Кози Леварден 50%, без змж, 150г",Сыры,2,417.99,0.0
10,CH-4_2-2025-04-24-000007,"Томаты черри ВАУ круглые красные, 200г",Овощи и фрукты,5,252.99,0.05
11,CH-4_2-2025-04-24-000007,"Сыр DORBLU с голубой плесенью 50%, без змж, 100г",Сыры,4,331.99,0.03
12,CH-4_2-2025-04-24-000007,"Лаваш РИЖСКИЙ ХЛЕБ Армянский ручной работы, 300г",Хлеб и выпечка,5,73.99,0.05
13,CH-4_2-2025-04-24-000008,"Сыр твердый ВЕЛИКИЕ ЛУКИ Parmesan 40%, 3 месяца, без змж, 180г",Сыры,5,271.99,0.05
14,CH-4_2-2025-04-24-000009,"Хлеб Нордик с орехами и сухофруктами на закваске, 170г",Хлеб и выпечка,3,99.99,0.03
15,CH-4_2-2025-04-24-000010,"Редис, 500г",Овощи и фрукты,4,199.99,0.03
16,CH-4_2-2025-04-24-000010,"Сыр творожный BONFESTO Кремчиз 70%, без змж, 400г",Сыры,4,308.99,0.03
17,CH-4_2-2025-04-24-000010,"Томаты сливовидные ФЛАМЕНКО, 450г",Овощи и фрукты,3,298.99,0.03
18,CH-4_2-2025-04-24-000010,"Огурцы Луховицкие, 450г",Овощи и фрукты,2,280.99,0.0
19,CH-4_2-2025-04-24-000011,"Перец микс, 2шт",Овощи и фрукты,5,151.99,0.05
20,CH-4_2-2025-04-24-000011,Виски JACK DANIEL'S Tennessee Whiskey 1л,Алкоголь,2,2899.99,0.0
21,CH-4_2-2025-04-24-000012,"Творог СВЕЖЕЕ ЗАВТРА 5%, без змж, 200г",Молочные продукты,3,108.99,0.03
22,CH-4_2-2025-04-24-000012,"Кольцо песочное ДАРНИЦА, классическое с обжаренным арахисом, 80г",Хлеб и выпечка,4,50.99,0.03
23,CH-4_2-2025-04-24-000013,"Сыр DORBLU с голубой плесенью 50%, без змж, 100г",Сыры,5,331.99,0.05
24,CH-4_2-2025-04-24-000014,"Ветчина из окорока PREMIUM CLUB нарезка, 170г",Колбаса и сосиски,4,225.99,0.03
25,CH-4_2-2025-04-24-000014,"Ветчина из окорока PREMIUM CLUB нарезка, 170г",Колбаса и сосиски,3,225.99,0.03
26,CH-4_2-2025-04-24-000014,"Ветчина из окорока PREMIUM CLUB нарезка, 170г",Колбаса и сосиски,2,225.99,0.0
27,CH-4_2-2025-04-24-000015,"Колбаса вареная ДЫМОВ Докторская ГОСТ, 500г",Колбаса и сосиски,1,335.99,0.0
28,CH-4_2-2025-04-24-000015,"Коньяк САРАДЖИШВИЛИ ХО Грузинский марочный старый КС 10 лет 40%, п/у, 0.5л",Алкоголь,5,4499.9,0.05
29,CH-4_2-2025-04-24-000015,"Лаваш РИЖСКИЙ ХЛЕБ Армянский ручной работы, 300г",Хлеб и выпечка,4,73.99,0.03
30,CH-4_2-2025-04-24-000016,"Хлеб заварной ХЛЕБНЫЙ ДОМ Заквасный без хлебопекарных дрожжей в упаковке, в нарезке, 350г",Хлеб и выпечка,4,72.99,0.03
31,CH-4_2-2025-04-24-000017,"Огурцы Луховицкие, 450г",Овощи и фрукты,5,280.99,0.05
32,CH-4_2-2025-04-24-000018,"Огурцы Луховицкие, 450г",Овощи и фрукты,5,280.99,0.05
33,CH-4_2-2025-04-24-000018,"Масло сливочное СЕЛО ЗЕЛЕНОЕ 82.5%, без змж, 175г",Молочные продукты,4,292.99,0.03
34,CH-4_2-2025-04-24-000019,"Лаваш РИЖСКИЙ ХЛЕБ Армянский ручной работы, 300г",Хлеб и выпечка,5,73.99,0.05
35,CH-4_2-2025-04-24-000020,"Огурцы Луховицкие, 450г",Овощи и фрукты,4,280.99,0.03
36,CH-4_2-2025-04-24-000020,"Водка FINLANDIA 40%, 0.7л",Алкоголь,4,1449.99,0.03
37,CH-4_2-2025-04-24-000021,"Вино игристое MARTINI Asti белое сладкое, 0.75л",Алкоголь,1,1499.99,0.0
38,CH-4_2-2025-04-24-000021,"Редис, 500г",Овощи и фрукты,1,199.99,0.0
39,CH-4_2-2025-04-24-000022,"Сыр УМАЛАТ Сулугуни 45%, без змж, 280г",Сыры,3,339.99,0.03
40,CH-4_2-2025-04-24-000022,"Хлеб заварной ХЛЕБНЫЙ ДОМ Заквасный без хлебопекарных дрожжей в упаковке, в нарезке, 350г",Хлеб и выпечка,2,72.99,0.0
41,CH-4_2-2025-04-24-000023,"Редис, 500г",Овощи и фрукты,3,199.99,0.03
42,CH-4_2-2025-04-24-000024,"Колбаса сыровяленая CASADEMONT Сальчичон Монтанья Экстра, 250г",Колбаса и сосиски,4,656.99,0.03
43,CH-4_2-2025-04-24-000024,"Перец микс, 2шт",Овощи и фрукты,3,151.99,0.03
44,CH-4_2-2025-04-24-000025,"Сыр творожный BONFESTO Кремчиз 70%, без змж, 400г",Сыры,2,308.99,0.0
