,doc_id,item,category,amount,price,discount
0,CH-4_1-2025-04-24-000001,"Ветчина из окорока PREMIUM CLUB нарезка, 170г",Колбаса и сосиски,5,225.99,0.05
1,CH-4_1-2025-04-24-000002,"Вино игристое MARTINI Asti белое сладкое, 0.75л",Алкоголь,3,1499.99,0.03
2,CH-4_1-2025-04-24-000003,"Хлеб Нордик с орехами и сухофруктами на закваске, 170г",Хлеб и выпечка,4,99.99,0.03
3,CH-4_1-2025-04-24-000004,"Томаты сливовидные ФЛАМЕНКО, 450г",Овощи и фрукты,5,298.99,0.05
4,CH-4_1-2025-04-24-000004,"Творог СВЕЖЕЕ ЗАВТРА 5%, без змж, 200г",Молочные продукты,2,108.99,0.0
5,CH-4_1-2025-04-24-000004,"Вино игристое MARTINI Asti белое сладкое, 0.75л",Алкоголь,2,1499.99,0.0
6,CH-4_1-2025-04-24-000005,"Сосиски ОКРАИНА Венские, 380г",Колбаса и сосиски,3,519.99,0.03
7,CH-4_1-2025-04-24-000005,"Сметана МЗ Пискаревский 15%, безмж, 450г",Молочные продукты,2,124.99,0.0
8,CH-4_1-2025-04-24-000005,"Сыр творожный BONFESTO Кремчиз 70%, без змж, 400г",Сыры,1,308.99,0.0
9,CH-4_1-2025-04-24-000005,"Водка FINLANDIA 40%, 0.7л",Алкоголь,4,1449.99,0.03
10,CH-4_1-2025-04-24-000005,"Хлеб заварной ХЛЕБНЫЙ ДОМ Заквасный без хлебопекарных дрожжей в упаковке, в нарезке, 350г",Хлеб и выпечка,1,72.99,0.0
11,CH-4_1-2025-04-24-000006,"Томаты черри ВАУ круглые красные, 200г",Овощи и фрукты,3,252.99,0.03
12,CH-4_1-2025-04-24-000006,"Сметана МЗ Пискаревский 15%, безмж, 450г",Молочные продукты,2,124.99,0.0
13,CH-4_1-2025-04-24-000007,"Сосиски ОКРАИНА Венские, 380г",Колбаса и сосиски,5,519.99,0.05
14,CH-4_1-2025-04-24-000007,"Вино J.P.CHENET Делишес Медиум Свит красное полусладкое, 0.75л",Алкоголь,3,999.99,0.03
15,CH-4_1-2025-04-24-000008,"Колбаса вареная ДЫМОВ Докторская ГОСТ, 500г",Колбаса и сосиски,2,335.99,0.0
16,CH-4_1-2025-04-24-000008,"Водка FINLANDIA 40%, 0.7л",Алкоголь,1,1449.99,0.0
17,CH-4_1-2025-04-24-000009,"Творог СВЕЖЕЕ ЗАВТРА 5%, без змж, 200г",Молочные продукты,3,108.99,0.03
18,CH-4_1-2025-04-24-000010,"Ветчина из окорока PREMIUM CLUB нарезка, 170г",Колбаса и сосиски,5,225.99,0.05
19,CH-4_1-2025-04-24-000011,"Сметана МЗ Пискаревский 15%, безмж, 450г",Молочные продукты,4,124.99,0.03
20,CH-4_1-2025-04-24-000011,"Биопродукт кефирный БИОБАЛАНС 1%, без змж, 930г",Молочные продукты,3,122.99,0.03
21,CH-4_1-2025-04-24-000011,"Водка FINLANDIA 40%, 0.7л",Алкоголь,3,1449.99,0.03
22,CH-4_1-2025-04-24-000012,"Хлеб Нордик с орехами и сухофруктами на закваске, 170г",Хлеб и выпечка,3,99.99,0.03
23,CH-4_1-2025-04-24-000012,Виски JACK DANIEL'S Tennessee Whiskey 1л,Алкоголь,5,2899.99,0.05
24,CH-4_1-2025-04-24-000012,"Сало БАХРУШИНЪ с гималайской солью, 280г",Колбаса и сосиски,1,436.99,0.0
25,CH-4_1-2025-04-24-000012,"Редис, 500г",Овощи и фрукты,5,199.99,0.05
26,CH-4_1-2025-04-24-000013,"Сметана МЗ Пискаревский 15%, безмж, 450г",Молочные продукты,2,124.99,0.0
27,CH-4_1-2025-04-24-000013,Виски JACK DANIEL'S Tennessee Whiskey 1л,Алкоголь,3,2899.99,0.03
28,CH-4_1-2025-04-24-000014,"Сыр DORBLU с голубой плесенью 50%, без змж, 100г",Сыры,5,331.99,0.05
29,CH-4_1-2025-04-24-000015,"Лаваш РИЖСКИЙ ХЛЕБ Армянский ручной работы, 300г",Хлеб и выпечка,1,73.99,0.0
30,CH-4_1-2025-04-24-000016,"Огурцы Луховицкие, 450г",Овощи и фрукты,5,280.99,0.05
31,CH-4_1-2025-04-24-000016,"Сметана МЗ Пискаревский 15%, безмж, 450г",Молочные продукты,4,124.99,0.03
32,CH-4_1-2025-04-24-000016,"Перец микс, 2шт",Овощи и фрукты,5,151.99,0.05
33,CH-4_1-2025-04-24-000017,"Масло сливочное СЕЛО ЗЕЛЕНОЕ 82.5%, без змж, 175г",Молочные продукты,3,292.99,0.03
34,CH-4_1-2025-04-24-000018,"Томаты сливовидные ФЛАМЕНКО, 450г",Овощи и фрукты,3,298.99,0.03
35,CH-4_1-2025-04-24-000018,"Сыр УМАЛАТ Сулугуни 45%, без змж, 280г",Сыры,1,339.99,0.0
36,CH-4_1-2025-04-24-000018,"Сало БАХРУШИНЪ с гималайской солью, 280г",Колбаса и сосиски,5,436.99,0.05
37,CH-4_1-2025-04-24-000018,"Вино игристое MARTINI Asti белое сладкое, 0.75л",Алкоголь,2,1499.99,0.0
38,CH-4_1-2025-04-24-000018,"Коньяк САРАДЖИШВИЛИ ХО Грузинский марочный старый КС 10 лет 40%, п/у, 0.5л",Алкоголь,1,4499.9,0.0
39,CH-4_1-2025-04-24-000018,"Хлебец АРНАУТ Ленинградский, 280г",Хлеб и выпечка,1,108.99,0.0
40,CH-4_1-2025-04-24-000018,"Творог СВЕЖЕЕ ЗАВТРА 5%, без змж, 200г",Молочные продукты,3,108.99,0.03
41,CH-4_1-2025-04-24-000018,"Молоко пастеризованное ПРОСТОКВАШИНО 2,5%, без змж, 930мл",Молочные продукты,1,97.99,0.0
42,CH-4_1-2025-04-24-000018,"Сыр УМАЛАТ Сулугуни 45%, без змж, 280г",Сыры,1,339.99,0.0
