,doc_id,item,category,amount,price,discount
0,CH-5_1-2025-04-24-000001,"Масло сливочное СЕЛО ЗЕЛЕНОЕ 82.5%, без змж, 175г",Молочные продукты,2,292.99,0.0
1,CH-5_1-2025-04-24-000001,"Сыр DORBLU с голубой плесенью 50%, без змж, 100г",Сыры,5,331.99,0.05
2,CH-5_1-2025-04-24-000001,"Вино игристое MARTINI Asti белое сладкое, 0.75л",Алкоголь,2,1499.99,0.0
3,CH-5_1-2025-04-24-000002,"Сыр УМАЛАТ Сулугуни 45%, без змж, 280г",Сыры,2,339.99,0.0
4,CH-5_1-2025-04-24-000003,"Вино игристое MARTINI Asti белое сладкое, 0.75л",Алкоголь,2,1499.99,0.0
5,CH-5_1-2025-04-24-000004,"Томаты черри ВАУ круглые красные, 200г",Овощи и фрукты,2,252.99,0.0
6,CH-5_1-2025-04-24-000004,"Томаты сливовидные ФЛАМЕНКО, 450г",Овощи и фрукты,3,298.99,0.03
7,CH-5_1-2025-04-24-000004,"Томаты сливовидные ФЛАМЕНКО, 450г",Овощи и фрукты,5,298.99,0.05
8,CH-5_1-2025-04-24-000004,"Перец микс, 2шт",Овощи и фрукты,3,151.99,0.03
9,CH-5_1-2025-04-24-000004,"Сметана МЗ Пискаревский 15%, безмж, 450г",Молочные продукты,4,124.99,0.03
10,CH-5_1-2025-04-24-000004,"Перец микс, 2шт",Овощи и фрукты,4,151.99,0.03
11,CH-5_1-2025-04-24-000005,"Коньяк САРАДЖИШВИЛИ ХО Грузинский марочный старый КС 10 лет 40%, п/у, 0.5л",Алкоголь,2,4499.9,0.0
12,CH-5_1-2025-04-24-000006,"Сыр творожный BONFESTO Кремчиз 70%, без змж, 400г",Сыры,2,308.99,0.0
13,CH-5_1-2025-04-24-000006,"Перец микс, 2шт",Овощи и фрукты,2,151.99,0.0
14,CH-5_1-2025-04-24-000006,"Коньяк САРАДЖИШВИЛИ ХО Грузинский марочный старый КС 10 лет 40%, п/у, 0.5л",Алкоголь,1,4499.9,0.0
15,CH-5_1-2025-04-24-000007,"Редис, 500г",Овощи и фрукты,1,199.99,0.0
16,CH-5_1-2025-04-24-000007,"Колбаса сыровяленая CASADEMONT Сальчичон Монтанья Экстра, 250г",Колбаса и сосиски,4,656.99,0.03
17,CH-5_1-2025-04-24-000007,"Вино J.P.CHENET Делишес Медиум Свит красное полусладкое, 0.75л",Алкоголь,1,999.99,0.0
18,CH-5_1-2025-04-24-000008,"Сосиски ОКРАИНА Венские, 380г",Колбаса и сосиски,2,519.99,0.0
19,CH-5_1-2025-04-24-000009,"Биопродукт кефирный БИОБАЛАНС 1%, без змж, 930г",Молочные продукты,4,122.99,0.03
20,CH-5_1-2025-04-24-000010,"Сыр УМАЛАТ Сулугуни 45%, без змж, 280г",Сыры,5,339.99,0.05
21,CH-5_1-2025-04-24-000011,"Коньяк САРАДЖИШВИЛИ ХО Грузинский марочный старый КС 10 лет 40%, п/у, 0.5л",Алкоголь,3,4499.9,0.03
22,CH-5_1-2025-04-24-000012,"Водка FINLANDIA 40%, 0.7л",Алкоголь,4,1449.99,0.03
23,CH-5_1-2025-04-24-000013,"Хлеб заварной ХЛЕБНЫЙ ДОМ Заквасный без хлебопекарных дрожжей в упаковке, в нарезке, 350г",Хлеб и выпечка,2,72.99,0.0
24,CH-5_1-2025-04-24-000014,"Молоко пастеризованное ПРОСТОКВАШИНО 2,5%, без змж, 930мл",Молочные продукты,3,97.99,0.03
25,CH-5_1-2025-04-24-000015,"Огурцы Луховицкие, 450г",Овощи и фрукты,2,280.99,0.0
26,CH-5_1-2025-04-24-000015,"Молоко пастеризованное ПРОСТОКВАШИНО 2,5%, без змж, 930мл",Молочные продукты,1,97.99,0.0
27,CH-5_1-2025-04-24-000016,"Вино игристое MARTINI Asti белое сладкое, 0.75л",Алкоголь,2,1499.99,0.0
28,CH-5_1-2025-04-24-000017,"Хлеб заварной ХЛЕБНЫЙ ДОМ Заквасный без хлебопекарных дрожжей в упаковке, в нарезке, 350г",Хлеб и выпечка,2,72.99,0.0
29,CH-5_1-2025-04-24-000018,"Хлеб Нордик с орехами и сухофруктами на закваске, 170г",Хлеб и выпечка,1,99.99,0.0
30,CH-5_1-2025-04-24-000018,"Водка FINLANDIA 40%, 0.7л",Алкоголь,4,1449.99,0.03
31,CH-5_1-2025-04-24-000019,"Сосиски ОКРАИНА Венские, 380г",Колбаса и сосиски,4,519.99,0.03
32,CH-5_1-2025-04-24-000020,"Хлеб заварной ХЛЕБНЫЙ ДОМ Заквасный без хлебопекарных дрожжей в упаковке, в нарезке, 350г",Хлеб и выпечка,5,72.99,0.05
33,CH-5_1-2025-04-24-000021,"Хлеб Нордик с орехами и сухофруктами на закваске, 170г",Хлеб и выпечка,1,99.99,0.0
34,CH-5_1-2025-04-24-000021,"Томаты сливовидные ФЛАМЕНКО, 450г",Овощи и фрукты,4,298.99,0.03
35,CH-5_1-2025-04-24-000022,"Сыр творожный BONFESTO Кремчиз 70%, без змж, 400г",Сыры,4,308.99,0.03
36,CH-5_1-2025-04-24-000023,"Молоко пастеризованное ПРОСТОКВАШИНО 2,5%, без змж, 930мл",Молочные продукты,2,97.99,0.0
37,CH-5_1-2025-04-24-000024,"Вино J.P.CHENET Делишес Медиум Свит красное полусладкое, 0.75л",Алкоголь,4,999.99,0.03
38,CH-5_1-2025-04-24-000025,"Сосиски ОКРАИНА Венские, 380г",Колбаса и сосиски,4,519.99,0.03
39,CH-5_1-2025-04-24-000026,"Масло сливочное СЕЛО ЗЕЛЕНОЕ 82.5%, без змж, 175г",Молочные продукты,4,292.99,0.03
40,CH-5_1-2025-04-24-000027,"Редис, 500г",Овощи и фрукты,2,199.99,0.0
41,CH-5_1-2025-04-24-000027,"Перец микс, 2шт",Овощи и фрукты,4,151.99,0.03
42,CH-5_1-2025-04-24-000028,"Хлеб заварной ХЛЕБНЫЙ ДОМ Заквасный без хлебопекарных дрожжей в упаковке, в нарезке, 350г",Хлеб и выпечка,3,72.99,0.03
43,CH-5_1-2025-04-24-000029,"Молоко пастеризованное ПРОСТОКВАШИНО 2,5%, без змж, 930мл",Молочные продукты,5,97.99,0.05
44,CH-5_1-2025-04-24-000029,"Сосиски ОКРАИНА Венские, 380г",Колбаса и сосиски,3,519.99,0.03
45,CH-5_1-2025-04-24-000029,Виски JACK DANIEL'S Tennessee Whiskey 1л,Алкоголь,4,2899.99,0.03
46,CH-5_1-2025-04-24-000029,"Перец микс, 2шт",Овощи и фрукты,3,151.99,0.03
47,CH-5_1-2025-04-24-000030,"Сыр твердый ВЕЛИКИЕ ЛУКИ Parmesan 40%, 3 месяца, без змж, 180г",Сыры,2,271.99,0.0
48,CH-5_1-2025-04-24-000030,"Сосиски ОКРАИНА Венские, 380г",Колбаса и сосиски,5,519.99,0.05
49,CH-5_1-2025-04-24-000030,"Вино игристое MARTINI Asti белое сладкое, 0.75л",Алкоголь,3,1499.99,0.03
50,CH-5_1-2025-04-24-000030,"Сыр DORBLU с голубой плесенью 50%, без змж, 100г",Сыры,1,331.99,0.0
