,doc_id,item,category,amount,price,discount
0,CH-9_3-2025-04-24-000001,"Сыр из козьего молока БЕЛОЕ ЗОЛОТО Грана Кози Леварден 50%, без змж, 150г",Сыры,2,417.99,0.0
1,CH-9_3-2025-04-24-000001,"Сыр из козьего молока БЕЛОЕ ЗОЛОТО Грана Кози Леварден 50%, без змж, 150г",Сыры,4,417.99,0.03
2,CH-9_3-2025-04-24-000002,"Ветчина из окорока PREMIUM CLUB нарезка, 170г",Колбаса и сосиски,3,225.99,0.03
3,CH-9_3-2025-04-24-000003,"Лаваш РИЖСКИЙ ХЛЕБ Армянский ручной работы, 300г",Хлеб и выпечка,2,73.99,0.0
4,CH-9_3-2025-04-24-000004,"Колбаса вареная ДЫМОВ Докторская ГОСТ, 500г",Колбаса и сосиски,2,335.99,0.0
5,CH-9_3-2025-04-24-000004,"Масло сливочное СЕЛО ЗЕЛЕНОЕ 82.5%, без змж, 175г",Молочные продукты,1,292.99,0.0
6,CH-9_3-2025-04-24-000004,"Творог СВЕЖЕЕ ЗАВТРА 5%, без змж, 200г",Молочные продукты,1,108.99,0.0
7,CH-9_3-2025-04-24-000005,"Сосиски ОКРАИНА Венские, 380г",Колбаса и сосиски,5,519.99,0.05
8,CH-9_3-2025-04-24-000006,"Коньяк САРАДЖИШВИЛИ ХО Грузинский марочный старый КС 10 лет 40%, п/у, 0.5л",Алкоголь,5,4499.9,0.05
9,CH-9_3-2025-04-24-000006,"Перец микс, 2шт",Овощи и фрукты,1,151.99,0.0
10,CH-9_3-2025-04-24-000006,"Томаты черри ВАУ круглые красные, 200г",Овощи и фрукты,4,252.99,0.03
11,CH-9_3-2025-04-24-000007,"Биопродукт кефирный БИОБАЛАНС 1%, без змж, 930г",Молочные продукты,3,122.99,0.03
12,CH-9_3-2025-04-24-000007,"Сыр твердый ВЕЛИКИЕ ЛУКИ Parmesan 40%, 3 месяца, без змж, 180г",Сыры,2,271.99,0.0
13,CH-9_3-2025-04-24-000007,"Сыр DORBLU с голубой плесенью 50%, без змж, 100г",Сыры,5,331.99,0.05
14,CH-9_3-2025-04-24-000008,"Сыр творожный BONFESTO Кремчиз 70%, без змж, 400г",Сыры,5,308.99,0.05
15,CH-9_3-2025-04-24-000008,Виски JACK DANIEL'S Tennessee Whiskey 1л,Алкоголь,1,2899.99,0.0
16,CH-9_3-2025-04-24-000009,"Масло сливочное СЕЛО ЗЕЛЕНОЕ 82.5%, без змж, 175г",Молочные продукты,3,292.99,0.03
17,CH-9_3-2025-04-24-000009,"Лаваш РИЖСКИЙ ХЛЕБ Армянский ручной работы, 300г",Хлеб и выпечка,1,73.99,0.0
18,CH-9_3-2025-04-24-000009,"Сало БАХРУШИНЪ с гималайской солью, 280г",Колбаса и сосиски,4,436.99,0.03
19,CH-9_3-2025-04-24-000009,"Вино J.P.CHENET Делишес Медиум Свит красное полусладкое, 0.75л",Алкоголь,3,999.99,0.03
20,CH-9_3-2025-04-24-000010,"Колбаса сыровяленая CASADEMONT Сальчичон Монтанья Экстра, 250г",Колбаса и сосиски,2,656.99,0.0
21,CH-9_3-2025-04-24-000011,"Сыр DORBLU с голубой плесенью 50%, без змж, 100г",Сыры,2,331.99,0.0
22,CH-9_3-2025-04-24-000011,"Кольцо песочное ДАРНИЦА, классическое с обжаренным арахисом, 80г",Хлеб и выпечка,1,50.99,0.0
23,CH-9_3-2025-04-24-000012,"Творог СВЕЖЕЕ ЗАВТРА 5%, без змж, 200г",Молочные продукты,5,108.99,0.05
24,CH-9_3-2025-04-24-000012,"Вино J.P.CHENET Делишес Медиум Свит красное полусладкое, 0.75л",Алкоголь,1,999.99,0.0
25,CH-9_3-2025-04-24-000013,Виски JACK DANIEL'S Tennessee Whiskey 1л,Алкоголь,5,2899.99,0.05
26,CH-9_3-2025-04-24-000014,"Водка FINLANDIA 40%, 0.7л",Алкоголь,2,1449.99,0.0
27,CH-9_3-2025-04-24-000015,"Редис, 500г",Овощи и фрукты,2,199.99,0.0
28,CH-9_3-2025-04-24-000016,"Сосиски ОКРАИНА Венские, 380г",Колбаса и сосиски,4,519.99,0.03
29,CH-9_3-2025-04-24-000017,"Коньяк САРАДЖИШВИЛИ ХО Грузинский марочный старый КС 10 лет 40%, п/у, 0.5л",Алкоголь,5,4499.9,0.05
30,CH-9_3-2025-04-24-000018,"Хлебец АРНАУТ Ленинградский, 280г",Хлеб и выпечка,3,108.99,0.03
31,CH-9_3-2025-04-24-000018,"Колбаса вареная ДЫМОВ Докторская ГОСТ, 500г",Колбаса и сосиски,3,335.99,0.03
32,CH-9_3-2025-04-24-000019,"Перец микс, 2шт",Овощи и фрукты,2,151.99,0.0
33,CH-9_3-2025-04-24-000020,"Биопродукт кефирный БИОБАЛАНС 1%, без змж, 930г",Молочные продукты,4,122.99,0.03
34,CH-9_3-2025-04-24-000021,"Вино игристое MARTINI Asti белое сладкое, 0.75л",Алкоголь,3,1499.99,0.03
35,CH-9_3-2025-04-24-000022,"Вино J.P.CHENET Делишес Медиум Свит красное полусладкое, 0.75л",Алкоголь,4,999.99,0.03
36,CH-9_3-2025-04-24-000023,"Хлебец АРНАУТ Ленинградский, 280г",Хлеб и выпечка,2,108.99,0.0
37,CH-9_3-2025-04-24-000023,"Сыр из козьего молока БЕЛОЕ ЗОЛОТО Грана Кози Леварден 50%, без змж, 150г",Сыры,5,417.99,0.05
38,CH-9_3-2025-04-24-000023,"Томаты сливовидные ФЛАМЕНКО, 450г",Овощи и фрукты,5,298.99,0.05
39,CH-9_3-2025-04-24-000024,"Сыр из козьего молока БЕЛОЕ ЗОЛОТО Грана Кози Леварден 50%, без змж, 150г",Сыры,4,417.99,0.03
