,doc_id,item,category,amount,price,discount
0,CH-7_1-2025-04-24-000001,"Томаты сливовидные ФЛАМЕНКО, 450г",Овощи и фрукты,4,298.99,0.03
1,CH-7_1-2025-04-24-000002,"Кольцо песочное ДАРНИЦА, классическое с обжаренным арахисом, 80г",Хлеб и выпечка,2,50.99,0.0
2,CH-7_1-2025-04-24-000002,"Колбаса сыровяленая CASADEMONT Сальчичон Монтанья Экстра, 250г",Колбаса и сосиски,1,656.99,0.0
3,CH-7_1-2025-04-24-000003,"Водка FINLANDIA 40%, 0.7л",Алкоголь,4,1449.99,0.03
4,CH-7_1-2025-04-24-000003,"Томаты сливовидные ФЛАМЕНКО, 450г",Овощи и фрукты,4,298.99,0.03
5,CH-7_1-2025-04-24-000003,"Ветчина из окорока PREMIUM CLUB нарезка, 170г",Колбаса и сосиски,2,225.99,0.0
6,CH-7_1-2025-04-24-000003,"Творог СВЕЖЕЕ ЗАВТРА 5%, без змж, 200г",Молочные продукты,1,108.99,0.0
7,CH-7_1-2025-04-24-000003,"Сыр творожный BONFESTO Кремчиз 70%, без змж, 400г",Сыры,3,308.99,0.03
8,CH-7_1-2025-04-24-000003,Виски JACK DANIEL'S Tennessee Whiskey 1л,Алкоголь,4,2899.99,0.03
9,CH-7_1-2025-04-24-000003,"Вино J.P.CHENET Делишес Медиум Свит красное полусладкое, 0.75л",Алкоголь,5,999.99,0.05
10,CH-7_1-2025-04-24-000004,"Сметана МЗ Пискаревский 15%, безмж, 450г",Молочные продукты,2,124.99,0.0
11,CH-7_1-2025-04-24-000004,Виски JACK DANIEL'S Tennessee Whiskey 1л,Алкоголь,4,2899.99,0.03
12,CH-7_1-2025-04-24-000005,"Водка FINLANDIA 40%, 0.7л",Алкоголь,4,1449.99,0.03
13,CH-7_1-2025-04-24-000005,"Сосиски ОКРАИНА Венские, 380г",Колбаса и сосиски,1,519.99,0.0
14,CH-7_1-2025-04-24-000006,"Молоко пастеризованное ПРОСТОКВАШИНО 2,5%, без змж, 930мл",Молочные продукты,1,97.99,0.0
15,CH-7_1-2025-04-24-000007,"Водка FINLANDIA 40%, 0.7л",Алкоголь,2,1449.99,0.0
16,CH-7_1-2025-04-24-000007,"Хлеб заварной ХЛЕБНЫЙ ДОМ Заквасный без хлебопекарных дрожжей в упаковке, в нарезке, 350г",Хлеб и выпечка,2,72.99,0.0
17,CH-7_1-2025-04-24-000008,"Редис, 500г",Овощи и фрукты,1,199.99,0.0
18,CH-7_1-2025-04-24-000009,"Масло сливочное СЕЛО ЗЕЛЕНОЕ 82.5%, без змж, 175г",Молочные продукты,5,292.99,0.05
19,CH-7_1-2025-04-24-000009,"Томаты черри ВАУ круглые красные, 200г",Овощи и фрукты,3,252.99,0.03
20,CH-7_1-2025-04-24-000010,"Вино J.P.CHENET Делишес Медиум Свит красное полусладкое, 0.75л",Алкоголь,5,999.99,0.05
21,CH-7_1-2025-04-24-000010,"Творог СВЕЖЕЕ ЗАВТРА 5%, без змж, 200г",Молочные продукты,1,108.99,0.0
22,CH-7_1-2025-04-24-000011,"Сыр DORBLU с голубой плесенью 50%, без змж, 100г",Сыры,3,331.99,0.03
23,CH-7_1-2025-04-24-000011,"Томаты черри ВАУ круглые красные, 200г",Овощи и фрукты,2,252.99,0.0
24,CH-7_1-2025-04-24-000012,"Колбаса вареная ДЫМОВ Докторская ГОСТ, 500г",Колбаса и сосиски,5,335.99,0.05
25,CH-7_1-2025-04-24-000013,"Сыр УМАЛАТ Сулугуни 45%, без змж, 280г",Сыры,1,339.99,0.0
